# //  Questa Sim-64
# //  Version 2019.2_1 linux_x86_64 May 13 2019
# //
# //  Copyright 1991-2019 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Project file /u/rseth/ece571_hw2_yaalu/hw2_yaalu.mpf was not found.
# Unable to open project.
# Loading project ece571_rwb
# reading /pkgs/mentor/questa/2019.2_1/questasim/linux_x86_64/../modelsim.ini
# Loading project hw3_shiftreg
# Compile of regWithBenefits.sv failed with 1 errors.
# Compile of tb_rwb.sv failed with 2 errors.
# 2 compiles, 2 failed with 3 errors.
# Compile of regWithBenefits.sv was successful.
# Compile of tb_rwb.sv was successful.
# 2 compiles, 0 failed with no errors.
vsim work.test_rwb
# vsim work.test_rwb 
# Start time: 16:14:32 on Feb 01,2020
# ** Note: (vsim-3812) Design is being optimized...
# Loading sv_std.std
# Loading work.test_rwb(fast)
run 300
# Simulation starting...
# 
# Walking a 1 across the register.
# 
# Compile of regWithBenefits.sv was successful.
# Compile of tb_rwb.sv was successful.
# 2 compiles, 0 failed with no errors.
restart -f
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# Loading sv_std.std
# Loading work.test_rwb(fast)
run 300
# Simulation starting...
# 
# Walking a 1 across the register.
# 
run -all
# Compile of regWithBenefits.sv was successful.
# Compile of tb_rwb.sv was successful.
# 2 compiles, 0 failed with no errors.
# Break key hit
# Simulation stop requested.
restart -f
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# Loading sv_std.std
# Loading work.test_rwb(fast)
restart -f
run 400
# ** Note: (vsim-8009) Loading existing optimized design _opt
# Loading work.test_rwb(fast)
# Simulation starting...
# 
# Walking a 1 across the register.
# 
restart -f
# ** Note: (vsim-8009) Loading existing optimized design _opt
# Loading work.test_rwb(fast)
run 400
# Simulation starting...
# 
# Walking a 1 across the register.
# 
# Compile of regWithBenefits.sv was successful.
# Compile of tb_rwb.sv was successful.
# 2 compiles, 0 failed with no errors.
restart -f
# ** Note: (vsim-8009) Loading existing optimized design _opt
# Loading work.test_rwb(fast)
run 1000
# Simulation starting...
# 
# Walking a 1 across the register.
# 
# Compile of regWithBenefits.sv was successful.
# Compile of tb_rwb.sv was successful.
# 2 compiles, 0 failed with no errors.
restart -f
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# Loading sv_std.std
# Loading work.test_rwb(fast)
run 400
# Simulation starting...
# 
# Walking a 1 across the register.
# 
# Simulation concluded!
# ** Note: $stop    : /u/rseth/ece571_rwb/tb_rwb.sv(59)
#    Time: 195 ns  Iteration: 0  Instance: /test_rwb
# Break at /u/rseth/ece571_rwb/tb_rwb.sv line 59
# Compile of regWithBenefits.sv was successful.
# Compile of tb_rwb.sv was successful.
# 2 compiles, 0 failed with no errors.
restart -f
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# Loading sv_std.std
# Loading work.test_rwb(fast)
run 500
# Simulation starting...
# 
# Walking a 1 across the register.
# 
# Simulation concluded!
# ** Note: $stop    : /u/rseth/ece571_rwb/tb_rwb.sv(59)
#    Time: 195 ns  Iteration: 0  Instance: /test_rwb
# Break at /u/rseth/ece571_rwb/tb_rwb.sv line 59
# Compile of regWithBenefits.sv was successful.
# Compile of tb_rwb.sv was successful.
# 2 compiles, 0 failed with no errors.
restart -f
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# ** Warning: /u/rseth/ece571_rwb/tb_rwb.sv(24): (vopt-2241) Connection width does not match width of port 'd'. The port definition is at: /u/rseth/ece571_rwb/regWithBenefits.sv(23).
# ** Warning: /u/rseth/ece571_rwb/tb_rwb.sv(24): (vopt-2241) Connection width does not match width of port 'q'. The port definition is at: /u/rseth/ece571_rwb/regWithBenefits.sv(25).
# Loading sv_std.std
# Loading work.test_rwb(fast)
run 500
# Simulation starting...
# 
# Walking a 1 across the register.
# 
# Simulation concluded!
# ** Note: $stop    : /u/rseth/ece571_rwb/tb_rwb.sv(59)
#    Time: 195 ns  Iteration: 0  Instance: /test_rwb
# Break at /u/rseth/ece571_rwb/tb_rwb.sv line 59
# Compile of regWithBenefits.sv was successful.
# Compile of tb_rwb.sv was successful.
# 2 compiles, 0 failed with no errors.
restart -f
# ** Note: (vsim-12125) Error and warning message counts have been reset to '0' because of 'restart'.
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# Loading sv_std.std
# Loading work.test_rwb(fast)
run 500
# Simulation starting...
# 
#                    5time =   5	 CONTROL SIGNALS = rst 1 - clr x - ld x - shl xb	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: x -- DATA OUT: xxxxxxxxb
# Walking a 1 across the register.
# 
#                   10time =  10	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 1b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 1 -- DATA OUT: xxxxxxxxb
#                   15time =  15	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 1b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                   20time =  20	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 1b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                   25time =  25	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 1b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                   30time =  30	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 1b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                   35time =  35	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 1b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                   40time =  40	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 1b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                   45time =  45	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 1b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
#                   50time =  50	 CONTROL SIGNALS = rst 0 - clr x - ld x - shl 1b	DATA SIGNALS = PARALLEL LOAD: xxxxxxxx -- SERIAL IN: 0 -- DATA OUT: xxxxxxxxb
